epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3053.06,0.79158,0.47125,0.99712,0.88798,0.9604,0.9719,0.77971,0.79823,0.5519,1.12976,0.0001294,0.0001294,0.0001294
43,3124.8,0.80933,0.47031,1.00662,0.89873,0.94059,0.9703,0.78453,0.79859,0.55234,1.14819,0.0001228,0.0001228,0.0001228
44,3196.6,0.79887,0.46051,0.99791,0.88834,0.94529,0.9591,0.78092,0.78707,0.5841,1.15566,0.0001162,0.0001162,0.0001162
45,3267.01,0.81039,0.46886,1.00481,0.88116,0.95435,0.9654,0.78037,0.78056,0.55388,1.15357,0.0001096,0.0001096,0.0001096
46,3338.01,0.77373,0.44499,0.98184,0.87432,0.9703,0.95864,0.77455,0.76087,0.57062,1.14941,0.000103,0.000103,0.000103
47,3415.07,0.79861,0.46821,0.99578,0.88988,0.9604,0.96918,0.78971,0.79728,0.56066,1.15025,9.64e-05,9.64e-05,9.64e-05
48,3486.3,0.75943,0.4415,0.97945,0.87721,0.9505,0.95634,0.77694,0.80412,0.53425,1.14823,8.98e-05,8.98e-05,8.98e-05
49,3559.65,0.77259,0.45073,0.99012,0.8784,0.9703,0.96985,0.79087,0.77316,0.51166,1.1149,8.32e-05,8.32e-05,8.32e-05
50,3630.65,0.7832,0.45647,0.98762,0.87286,0.9703,0.97236,0.79829,0.76975,0.5004,1.11207,7.66e-05,7.66e-05,7.66e-05
51,3707.51,0.71732,0.40671,0.94927,0.8988,0.96734,0.9748,0.8049,0.77304,0.50625,1.11091,7e-05,7e-05,7e-05
52,3779.06,0.71973,0.40277,0.95596,0.88179,0.9604,0.97768,0.8093,0.75762,0.52382,1.11496,6.34e-05,6.34e-05,6.34e-05
53,3849.93,0.69733,0.39733,0.94331,0.8916,0.97727,0.96968,0.80656,0.7484,0.53856,1.10927,5.68e-05,5.68e-05,5.68e-05
54,3921.15,0.6989,0.39448,0.93755,0.88395,0.9703,0.96989,0.80277,0.76003,0.51413,1.1149,5.02e-05,5.02e-05,5.02e-05
55,3994.87,0.68334,0.3814,0.9276,0.88348,0.97592,0.96681,0.79846,0.77228,0.50925,1.11906,4.36e-05,4.36e-05,4.36e-05
56,4065.49,0.67549,0.37794,0.93173,0.88576,0.9703,0.96719,0.79992,0.76329,0.50489,1.11248,3.7e-05,3.7e-05,3.7e-05
57,4154.98,0.67109,0.3793,0.93405,0.87667,0.9703,0.96646,0.79632,0.76244,0.51063,1.11482,3.04e-05,3.04e-05,3.04e-05
58,4230.57,0.68699,0.38322,0.93874,0.88049,0.9703,0.96719,0.799,0.76168,0.52495,1.12659,2.38e-05,2.38e-05,2.38e-05
59,4301.33,0.68572,0.38613,0.94001,0.89968,0.9767,0.96767,0.80119,0.76114,0.53398,1.13312,1.72e-05,1.72e-05,1.72e-05
60,4372.3,0.68443,0.38024,0.9357,0.89978,0.9802,0.96773,0.7986,0.76324,0.52884,1.13093,1.06e-05,1.06e-05,1.06e-05
