cluster,size_class,sample_count,mean_width_px,mean_height_px,mean_area_px,median_area_px,min_area_px,max_area_px,mean_diag_px,mean_aspect_ratio,share
1,Fries,727,421.26008253094915,513.1577441540578,207261.79488899588,212855.9052,47077.003,339680.42000000004,685.58976102371,0.9484748212206168,0.2990538872891814
2,Fingerling,464,904.3680603448277,338.59306034482756,306572.82961681037,308308.22795,145109.6504,509091.8694,968.1481706897384,2.779433576521757,0.19086795557383793
0,Juvenile,1240,613.2840475806452,759.6185887096775,438270.9779200726,428439.0547,238269.5367,841640.8518,1007.8386356511279,0.9084309101034728,0.5100781571369807
